course,EX,A,B,C,D,P,F,session
ME29201-INTRODUCTION TO BASIC MANUFACTURING PROCESSES ,35,164,97,32,9,0,0,Autumn 22
GG20203-SEDIMENTOLOGY ,1,4,1,7,12,10,0,Autumn 22
GG21207-INTRODUCTION TO EARTH SCIENCE ,1,4,6,3,9,11,1,Autumn 22
GG29207-SEDIMENTOLOGY LAB ,3,6,9,11,1,5,0,Autumn 22
GG29209-INTRODUCTION TO EARTH SCIENCE LAB ,1,4,6,14,6,4,0,Autumn 22
GG29203-PALEONTOLOGY LABORATORY ,0,1,1,0,0,0,0,Autumn 22
GG21203-PALEONTOLOGY ,0,1,0,0,0,0,0,Autumn 22
GG40008-SEDIMENTARY PETROLOGY ,22,15,0,0,0,0,0,Spring 22
GG40012-APPLIED PALEONTOLOGY ,7,22,6,2,0,0,0,Spring 22
GG40014-METAMORPHIC PHASE EQUILIBRIA ,1,10,22,3,1,0,0,Spring 22
GG48012-FIELD WORK(STRUCTURAL GEOLOGY) ,0,37,0,0,0,0,0,Spring 22
GG48014-FIELD WORK(SEDIMENTARY GEOLOGY) ,0,37,0,0,0,0,0,Spring 22
GG48016-FIELD WORK(ELECTRICAL RESISTIVITY SURVEY) ,37,0,0,0,0,0,0,Spring 22
GG49008-SEDIMENTARY PETROLOGY LAB. ,37,0,0,0,0,0,0,Spring 22
GG49012-APPLIED PALEONTOLOGY LAB. ,7,30,0,0,0,0,0,Spring 22
GG49014-METAMORPHIC PHASE EQUILIBRIA LAB. ,5,18,12,2,0,0,0,Spring 22
GG58020-COMPREHENSIVE VIVA VOCE ,5,10,9,10,3,0,0,Spring 22
GG50003-BASIN ANALYSIS ,5,32,0,0,0,0,0,Autumn 22
GG50005-APPLIED MINERALOGY ,6,12,9,10,0,0,0,Autumn 22
GG50007-ORE GENESIS ,4,7,14,8,3,1,0,Autumn 22
GG57003-PROJECT ,24,11,2,0,0,0,0,Autumn 22
GG58003-SEMINAR ,3,14,20,0,0,0,0,Autumn 22
GG59007-ORE GENESIS LAB ,9,21,7,0,0,0,0,Autumn 22
EM21205-MACROECONOMICS I ,4,10,12,20,11,6,2,Autumn 22
HS21203-MICROECONOMICS I ,0,0,0,2,1,1,0,Autumn 22
MA41004-TOPOLOGY ,8,22,7,0,0,0,0,Spring 22
MA41006-COMPLEX ANALYSIS ,17,14,6,0,0,0,0,Spring 22
MA49012-VIVA VOCE ,1,9,16,11,0,0,0,Spring 22
MA51003-FLUID MECHANICS ,0,1,7,9,15,5,0,Autumn 22
MA51005-ANALYTICAL MECHANICS ,1,7,14,10,2,3,0,Autumn 22
MA58005-SEMINAR ,10,19,8,0,0,0,0,Autumn 22
MA59009-PROJECT ,6,20,8,3,0,0,0,Autumn 22
MA61031- ,1,1,3,2,0,0,0,Autumn 22
MA61033- ,0,0,4,1,0,0,0,Autumn 22
MA71003- ,2,3,7,7,3,1,0,Autumn 22
ME21203-MECHANICS OF SOLIDS ,1,8,16,50,74,90,18,Autumn 22
ME21205-DYNAMICS ,14,26,53,72,57,30,6,Autumn 22
ME29203-MECHANICS OF SOLIDS LABORATORY ,17,54,86,68,31,0,1,Autumn 22
PH21209-ELECTROMAGNETISM ,0,6,9,9,8,5,2,Autumn 22
ME21207-THERMO-FLUID SCIENCE ,1,14,15,18,12,7,3,Autumn 22
MT21203-METALLURGICAL THERMODYNAMICS AND KINETICS ,2,11,15,10,9,32,0,Autumn 22
MT29201-INTRODUCTION TO ENGINEERING MATERIALS LABORATORY ,2,9,38,26,3,1,0,Autumn 22
MT29203-METALLURGICAL THERMODYNAMICS AND KINETICS LABORATORY ,11,17,30,9,10,2,0,Autumn 22
GG20201-GEOLOGY FOR ENGINEERS ,2,4,18,28,19,11,0,Autumn 22
GG29205-GEOLOGY LABORATORY ,8,24,30,16,2,1,0,Autumn 22
MI20201-DEVELOPMENT OF MINERAL DEPOSITS ,1,5,16,26,22,12,0,Autumn 22
MI21201-ROCK MECHANICS ,0,1,0,8,16,37,19,Autumn 22
NA20201-MECHANICS OF DEFORMABLE BODIES ,6,11,23,11,6,3,0,Autumn 22
NA20203-HYDROSTATICS AND STABILITY ,2,7,13,9,14,11,4,Autumn 22
EA19003-EXTRA ACADEMIC ACTIVITY-III ,1,14,10,2,5,3,2,Autumn 22
PH21205-CLASSICAL DYNAMICS AND SPECIAL RELATIVITY ,4,3,11,10,4,6,0,Autumn 22
PH29205-GENERAL PROPERTIES OF MATTER LAB ,7,22,7,2,0,0,0,Autumn 22
PH29207-ELECTROMAGNETISM LAB ,21,12,6,0,0,0,0,Autumn 22
PH29201-GENERAL PROPERTIES OF MATTER LABORATORY ,0,3,1,0,0,0,0,Autumn 22
PH29203-ELECTROMAGNETISM LABORATORY ,1,1,1,0,1,0,0,Autumn 22
PH49006-ELECTROMAGNETISM & OPTICS LAB. B ,14,27,7,3,0,0,0,Spring 22
PH58044-COMPREHENSIVE VIVA VOCE-I ,2,13,16,11,7,2,0,Spring 22
PH49009-CONDENSED MATTER PHYSICS LAB-I ,13,30,7,0,1,0,0,Autumn 22
PH49025-PROJECT PART I ,7,16,20,5,3,0,0,Autumn 22
PH58045-SEMINAR ,23,28,0,0,0,0,0,Autumn 22
PH60116- ,3,1,1,0,0,0,0,Autumn 22
